Unnamed: 0,log_price,area,bedrooms,bathrooms,floors,property_type,furniture,legal_status,distance_to_center
423,22.79643776573844,85,3,2,5.0,land,other,has_title,16.068702681060465
19,22.909317113796863,182,4,1,2.0,street_house,full,has_title,35.88193008660773
323,21.8864166470646,55,2,2,5.0,apartment,other,other,9.89028714093325
333,22.68336062113453,31,3,2,5.0,private_house,other,other,3.899595240349986
56,23.61363759489813,63,3,2,5.0,villa,basic,has_title,9.79938548889118
234,22.31250104226708,90,2,2,5.0,apartment,basic,contract,8.27448542045564
314,23.850026372950666,66,6,6,7.0,private_house,full,has_title,3.563881778036596
332,23.069867815452923,136,4,3,5.0,apartment,basic,contract,12.612815616242145
132,21.59873457471698,32,1,1,5.0,apartment,other,has_title,12.42374925106928
137,22.02345749928537,78,3,2,5.0,land,other,has_title,21.769546676861893
425,23.28821519448487,55,3,2,4.0,villa,none,has_title,11.462900242930786
336,22.72474583729167,109,3,3,5.0,apartment,other,contract,13.416956364643111
25,23.48958494623549,90,4,4,5.0,private_house,full,has_title,8.094090815198284
399,23.942141661854613,150,4,4,5.0,apartment,basic,has_title,7.468958645187008
477,23.139179615336747,50,5,2,6.0,private_house,other,has_title,5.533237697749415
248,22.15835036247383,69,2,2,5.0,apartment,other,other,7.616826288351035
238,21.54744128035136,43,1,1,5.0,apartment,full,has_title,9.87657310180574
117,24.594466847875136,125,4,4,5.0,private_house,basic,has_title,3.6710796648272384
42,23.88026625813908,122,3,2,5.0,villa,other,contract,12.715763430179546
237,22.839521351869447,60,3,2,5.0,land,other,has_title,7.409633988910606
176,22.46373201196236,110,3,2,5.0,apartment,none,has_title,5.726458361502148
321,24.258119603450403,122,3,2,5.0,private_house,full,has_title,8.5201338457803
153,24.000410569976324,146,4,3,5.0,apartment,full,has_title,3.979477136560887
468,22.52827053308896,68,3,2,5.0,land,other,has_title,13.933962614912708
228,21.282881625453264,34,1,1,5.0,apartment,full,has_title,12.513145284267136
426,24.04469825017581,160,3,2,5.0,land,other,has_title,4.049620352486512
204,23.585466717933024,120,6,6,4.0,private_house,full,has_title,6.434843894757319
126,22.00419968268625,55,2,1,5.0,apartment,other,other,12.498103968235382
369,23.02585093004045,40,4,2,4.0,private_house,other,has_title,10.82404238021055
31,23.79131877212654,70,20,20,9.0,private_house,full,has_title,4.591417571640954
113,24.46093545525359,120,3,2,5.0,land,other,has_title,4.227494121085745
277,22.625373363492585,120,3,3,5.0,apartment,basic,contract,4.130764297533061
203,22.97455763565817,50,3,2,5.0,shophouse,other,other,11.6519055853741
140,22.898017558544208,112,3,2,5.0,apartment,full,has_title,6.747465009140863
57,23.795959151682823,75,3,2,5.0,villa,other,contract,9.874052191224648
192,23.287445667705903,56,4,4,4.0,private_house,full,has_title,4.64134274199271
24,23.65818597115678,96,6,5,5.0,villa,none,contract,16.557975246011743
17,21.36511972364512,50,2,1,5.0,apartment,full,has_title,7.156738757986689
342,23.7189981105504,60,4,5,5.0,private_house,basic,has_title,1.4957068595557588
66,21.678777282358464,59,2,1,5.0,apartment,other,has_title,11.78569018059324
209,23.12116110983569,186,4,3,5.0,apartment,full,has_title,8.005960868571833
482,24.0374518416553,183,4,4,3.0,private_house,basic,has_title,8.540060305753421
94,22.95328023721315,76,2,2,5.0,apartment,basic,has_title,6.520211289290722
349,22.4811237546712,35,4,2,5.0,private_house,full,has_title,3.735371158900176
410,24.29279853345595,110,4,5,6.0,villa,full,has_title,6.789403706403314
23,23.562344300513505,104,3,2,5.0,villa,other,other,16.586585988241392
311,23.084119838158774,106,3,2,5.0,apartment,full,has_title,9.709945805584612
262,22.711140185237745,105,2,2,5.0,apartment,none,other,9.010953774466383
431,23.437960580833515,96,3,2,5.0,apartment,basic,contract,16.52547583870299
5,22.24932214065885,45,2,2,5.0,apartment,full,has_title,7.551689451076216
116,22.82739999133857,51,4,3,4.0,private_house,full,has_title,10.456337270230776
45,23.585466717933024,120,3,2,5.0,villa,other,other,12.898913109815766
16,24.05547034715733,80,6,5,5.0,villa,basic,has_title,9.798411645021714
465,22.49821818802757,45,3,4,6.0,private_house,full,has_title,5.0401475833875
358,22.920490414393743,96,2,2,5.0,apartment,other,other,6.513821091052604
3,23.52054717183754,96,3,2,5.0,villa,other,other,16.48617831268531
453,22.87502804032216,35,3,4,6.0,private_house,full,has_title,2.7325911101716605
271,20.970125915659185,80,3,2,5.0,land,other,has_title,26.69610981089923
60,24.573413438677747,236,4,4,5.0,apartment,none,has_title,7.6239705155832
